c,z,y,q,d,t,value
AFG,NEPS_AFG,2017,Q1,d1,t1,500.0
AFG,NEPS_AFG,2017,Q1,d1,t2,500.0
AFG,NEPS_AFG,2017,Q1,d1,t3,500.0
AFG,NEPS_AFG,2017,Q1,d1,t4,500.0
AFG,NEPS_AFG,2017,Q1,d1,t5,500.0
AFG,NEPS_AFG,2017,Q1,d1,t6,500.0
AFG,NEPS_AFG,2017,Q2,d1,t1,500.0
AFG,NEPS_AFG,2017,Q2,d1,t2,500.0000000000001
AFG,NEPS_AFG,2017,Q2,d1,t3,500.0
AFG,NEPS_AFG,2017,Q2,d1,t4,500.0
AFG,NEPS_AFG,2017,Q2,d1,t5,500.0
AFG,NEPS_AFG,2017,Q2,d1,t6,500.0
AFG,NEPS_AFG,2017,Q3,d1,t1,500.0
AFG,NEPS_AFG,2017,Q3,d1,t2,500.0
AFG,NEPS_AFG,2017,Q3,d1,t3,500.0
AFG,NEPS_AFG,2017,Q3,d1,t4,500.0
AFG,NEPS_AFG,2017,Q3,d1,t5,500.0
AFG,NEPS_AFG,2017,Q3,d1,t6,500.0
AFG,NEPS_AFG,2017,Q4,d1,t1,500.0
AFG,NEPS_AFG,2017,Q4,d1,t2,500.0
AFG,NEPS_AFG,2017,Q4,d1,t3,500.0
AFG,NEPS_AFG,2017,Q4,d1,t4,500.0
AFG,NEPS_AFG,2017,Q4,d1,t5,500.0
AFG,NEPS_AFG,2017,Q4,d1,t6,500.0
AFG,NEPS_AFG,2017,Q5,d1,t1,500.0
AFG,NEPS_AFG,2017,Q5,d1,t2,500.0
AFG,NEPS_AFG,2017,Q5,d1,t3,500.0
AFG,NEPS_AFG,2017,Q5,d1,t4,500.0
AFG,NEPS_AFG,2017,Q5,d1,t5,500.0
AFG,NEPS_AFG,2017,Q5,d1,t6,500.0
AFG,NEPS_AFG,2017,Q5,d1,t7,500.0
AFG,NEPS_AFG,2018,Q1,d1,t1,500.0
AFG,NEPS_AFG,2018,Q1,d1,t2,500.0
AFG,NEPS_AFG,2018,Q1,d1,t3,500.0
AFG,NEPS_AFG,2018,Q1,d1,t4,500.0
AFG,NEPS_AFG,2018,Q1,d1,t5,500.00000000000006
AFG,NEPS_AFG,2018,Q1,d1,t6,500.0
AFG,NEPS_AFG,2018,Q2,d1,t1,500.0
AFG,NEPS_AFG,2018,Q2,d1,t2,500.0
AFG,NEPS_AFG,2018,Q2,d1,t3,500.0
AFG,NEPS_AFG,2018,Q2,d1,t4,500.0
AFG,NEPS_AFG,2018,Q2,d1,t5,500.00000000000006
AFG,NEPS_AFG,2018,Q2,d1,t6,500.0
AFG,NEPS_AFG,2018,Q3,d1,t1,500.00000000000006
AFG,NEPS_AFG,2018,Q3,d1,t2,500.0000000000001
AFG,NEPS_AFG,2018,Q3,d1,t3,500.00000000000006
AFG,NEPS_AFG,2018,Q3,d1,t4,500.0000000000001
AFG,NEPS_AFG,2018,Q3,d1,t5,500.00000000000006
AFG,NEPS_AFG,2018,Q3,d1,t6,500.0
AFG,NEPS_AFG,2018,Q4,d1,t1,500.0
AFG,NEPS_AFG,2018,Q4,d1,t2,500.0
AFG,NEPS_AFG,2018,Q4,d1,t3,500.0
AFG,NEPS_AFG,2018,Q4,d1,t4,500.0
AFG,NEPS_AFG,2018,Q4,d1,t5,500.00000000000006
AFG,NEPS_AFG,2018,Q4,d1,t6,500.0
AFG,NEPS_AFG,2018,Q5,d1,t1,500.0
AFG,NEPS_AFG,2018,Q5,d1,t2,500.00000000000006
AFG,NEPS_AFG,2018,Q5,d1,t3,500.0
AFG,NEPS_AFG,2018,Q5,d1,t4,500.00000000000006
AFG,NEPS_AFG,2018,Q5,d1,t5,500.0
AFG,NEPS_AFG,2018,Q5,d1,t6,500.00000000000006
AFG,NEPS_AFG,2018,Q5,d1,t7,500.00000000000006
AFG,NEPS_AFG,2019,Q1,d1,t1,500.0
AFG,NEPS_AFG,2019,Q1,d1,t2,500.00000000000006
AFG,NEPS_AFG,2019,Q1,d1,t3,500.0
AFG,NEPS_AFG,2019,Q1,d1,t4,500.0
AFG,NEPS_AFG,2019,Q1,d1,t5,500.0
AFG,NEPS_AFG,2019,Q1,d1,t6,500.0
AFG,NEPS_AFG,2019,Q2,d1,t1,500.0
AFG,NEPS_AFG,2019,Q2,d1,t2,500.0
AFG,NEPS_AFG,2019,Q2,d1,t3,500.0
AFG,NEPS_AFG,2019,Q2,d1,t4,500.0
AFG,NEPS_AFG,2019,Q2,d1,t5,500.00000000000006
AFG,NEPS_AFG,2019,Q2,d1,t6,500.0
AFG,NEPS_AFG,2019,Q3,d1,t1,499.99999999999983
AFG,NEPS_AFG,2019,Q3,d1,t2,499.99999999999983
AFG,NEPS_AFG,2019,Q3,d1,t3,499.99999999999983
AFG,NEPS_AFG,2019,Q3,d1,t4,500.0
AFG,NEPS_AFG,2019,Q3,d1,t5,500.00000000000006
