c,z,attribute,y,tech,f,techfuel,value
AFG,NEPS_AFG,CapacityTechFuel,2017,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,CCGT,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,GT,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,ST,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2017,HY,Water,Reservoir,208.55
AFG,NEPS_AFG,CapacityTechFuel,2017,ROR,Water,ROR,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,CSPPlant,CSP,CSP,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,WT,Wind,Onshore Wind,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,PV,Solar,PV,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,pvwsto,Solar,PV+Storage,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,STOPV,Solar,Solar Thermal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,Storage,Battery,Battery,0.0
AFG,NEPS_AFG,CapacityTechFuel,2017,INT,Import,Imports,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,CCGT,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,GT,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,ST,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2018,HY,Water,Reservoir,208.55
AFG,NEPS_AFG,CapacityTechFuel,2018,ROR,Water,ROR,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,CSPPlant,CSP,CSP,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,WT,Wind,Onshore Wind,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,PV,Solar,PV,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,pvwsto,Solar,PV+Storage,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,STOPV,Solar,Solar Thermal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,Storage,Battery,Battery,0.0
AFG,NEPS_AFG,CapacityTechFuel,2018,INT,Import,Imports,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,CCGT,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,GT,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,ST,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2019,HY,Water,Reservoir,208.55
AFG,NEPS_AFG,CapacityTechFuel,2019,ROR,Water,ROR,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,CSPPlant,CSP,CSP,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,WT,Wind,Onshore Wind,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,PV,Solar,PV,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,pvwsto,Solar,PV+Storage,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,STOPV,Solar,Solar Thermal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,Storage,Battery,Battery,0.0
AFG,NEPS_AFG,CapacityTechFuel,2019,INT,Import,Imports,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,CCGT,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,GT,Gas,Gas,342.689099199056
AFG,NEPS_AFG,CapacityTechFuel,2020,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,ST,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2020,HY,Water,Reservoir,208.55
AFG,NEPS_AFG,CapacityTechFuel,2020,ROR,Water,ROR,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,CSPPlant,CSP,CSP,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,WT,Wind,Onshore Wind,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,PV,Solar,PV,294.74539830917445
AFG,NEPS_AFG,CapacityTechFuel,2020,pvwsto,Solar,PV+Storage,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,STOPV,Solar,Solar Thermal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,Storage,Battery,Battery,0.0
AFG,NEPS_AFG,CapacityTechFuel,2020,INT,Import,Imports,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,CCGT,Gas,Gas,157.05609629742125
AFG,NEPS_AFG,CapacityTechFuel,2021,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,GT,Gas,Gas,342.689099199056
AFG,NEPS_AFG,CapacityTechFuel,2021,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,ST,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2021,HY,Water,Reservoir,508.55
AFG,NEPS_AFG,CapacityTechFuel,2021,ROR,Water,ROR,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,CSPPlant,CSP,CSP,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,WT,Wind,Onshore Wind,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,PV,Solar,PV,294.74539830917445
AFG,NEPS_AFG,CapacityTechFuel,2021,pvwsto,Solar,PV+Storage,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,STOPV,Solar,Solar Thermal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,Storage,Battery,Battery,0.0
AFG,NEPS_AFG,CapacityTechFuel,2021,INT,Import,Imports,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,CCGT,Gas,Gas,157.05609629742125
AFG,NEPS_AFG,CapacityTechFuel,2022,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,GT,Gas,Gas,342.689099199056
AFG,NEPS_AFG,CapacityTechFuel,2022,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,ST,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2022,HY,Water,Reservoir,1291.353304471488
AFG,NEPS_AFG,CapacityTechFuel,2022,ROR,Water,ROR,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,CSPPlant,CSP,CSP,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,WT,Wind,Onshore Wind,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,PV,Solar,PV,294.74539830917445
AFG,NEPS_AFG,CapacityTechFuel,2022,pvwsto,Solar,PV+Storage,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,STOPV,Solar,Solar Thermal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,Storage,Battery,Battery,0.0
AFG,NEPS_AFG,CapacityTechFuel,2022,INT,Import,Imports,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,CCGT,Gas,Gas,157.05609629742125
AFG,NEPS_AFG,CapacityTechFuel,2023,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,GT,Gas,Gas,342.689099199056
AFG,NEPS_AFG,CapacityTechFuel,2023,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,ST,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2023,HY,Water,Reservoir,1449.05
AFG,NEPS_AFG,CapacityTechFuel,2023,ROR,Water,ROR,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,CSPPlant,CSP,CSP,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,WT,Wind,Onshore Wind,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,PV,Solar,PV,334.74539830917445
AFG,NEPS_AFG,CapacityTechFuel,2023,pvwsto,Solar,PV+Storage,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,STOPV,Solar,Solar Thermal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,Storage,Battery,Battery,0.0
AFG,NEPS_AFG,CapacityTechFuel,2023,INT,Import,Imports,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,CCGT,Gas,Gas,157.05609629742125
AFG,NEPS_AFG,CapacityTechFuel,2024,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,GT,Gas,Gas,342.689099199056
AFG,NEPS_AFG,CapacityTechFuel,2024,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,ST,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2024,HY,Water,Reservoir,1449.05
AFG,NEPS_AFG,CapacityTechFuel,2024,ROR,Water,ROR,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,CSPPlant,CSP,CSP,0.0
AFG,NEPS_AFG,CapacityTechFuel,2024,WT,Wind,Onshore Wind,0.0
