c,z,attribute,y,uni,value
AFG,NEPS_AFG,Costs,2026.0,Carbon costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Excess generation: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Export revenues with external zones: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Export revenues with internal zones: $m,-175.64132027286422
AFG,NEPS_AFG,Costs,2026.0,Fixed O&M: $m,23.549408806848188
AFG,NEPS_AFG,Costs,2026.0,Fuel costs: $m,23.51914028197756
AFG,NEPS_AFG,Costs,2026.0,Generation costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Import costs with external zones: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Import costs with internal zones: $m,166.2135234392879
AFG,NEPS_AFG,Costs,2026.0,NPV of system cost: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Spinning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Startup costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Trade shared benefits: $m,-25.245719314476823
AFG,NEPS_AFG,Costs,2026.0,Transmission costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Unmet country CO2 backstop cost: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Unmet country planning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Unmet country spinning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Unmet demand costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Unmet system CO2 backstop cost: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Unmet system planning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Unmet system spinning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,VRE curtailment: $m,0.0
AFG,NEPS_AFG,Costs,2026.0,Variable O&M: $m,22.099153566392832
AFG,NEPS_AFG,Costs,2027.0,Carbon costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Excess generation: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Export revenues with external zones: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Export revenues with internal zones: $m,-191.8312375351397
AFG,NEPS_AFG,Costs,2027.0,Fixed O&M: $m,23.549408806848188
AFG,NEPS_AFG,Costs,2027.0,Fuel costs: $m,22.175435311007327
AFG,NEPS_AFG,Costs,2027.0,Generation costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Import costs with external zones: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Import costs with internal zones: $m,181.7177516752935
AFG,NEPS_AFG,Costs,2027.0,NPV of system cost: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Spinning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Startup costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Trade shared benefits: $m,-10.014247047258444
AFG,NEPS_AFG,Costs,2027.0,Transmission costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Unmet country CO2 backstop cost: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Unmet country planning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Unmet country spinning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Unmet demand costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Unmet system CO2 backstop cost: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Unmet system planning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Unmet system spinning reserve costs: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,VRE curtailment: $m,0.0
AFG,NEPS_AFG,Costs,2027.0,Variable O&M: $m,22.399550654085346
AFG,NEPS_AFG,Costs,2028.0,Carbon costs: $m,0.0
AFG,NEPS_AFG,Costs,2028.0,Excess generation: $m,0.0
AFG,NEPS_AFG,Costs,2028.0,Export revenues with external zones: $m,0.0
