c,z,y,q,d,t,uni,value
AFG,NEPS_AFG,2028,Q1,d1,t1,Reservoir,616.18076113438
AFG,NEPS_AFG,2028,Q1,d1,t1,Imports,577.6036383085935
AFG,NEPS_AFG,2028,Q1,d1,t1,Demand,1193.3963807514306
AFG,NEPS_AFG,2028,Q1,d1,t2,Gas,216.3538581422765
AFG,NEPS_AFG,2028,Q1,d1,t2,Reservoir,477.042523109154
AFG,NEPS_AFG,2028,Q1,d1,t2,Imports,500.0
AFG,NEPS_AFG,2028,Q1,d1,t2,Demand,1193.3963807514306
AFG,NEPS_AFG,2028,Q1,d1,t3,Gas,216.3538581422765
AFG,NEPS_AFG,2028,Q1,d1,t3,Reservoir,477.042523109154
AFG,NEPS_AFG,2028,Q1,d1,t3,Imports,500.0
AFG,NEPS_AFG,2028,Q1,d1,t3,Demand,1193.3963807514306
AFG,NEPS_AFG,2028,Q1,d1,t4,Reservoir,616.18076113438
AFG,NEPS_AFG,2028,Q1,d1,t4,Imports,577.6036383085935
AFG,NEPS_AFG,2028,Q1,d1,t4,Demand,1193.3963807514306
AFG,NEPS_AFG,2028,Q1,d1,t5,Gas,216.3538581422765
AFG,NEPS_AFG,2028,Q1,d1,t5,Reservoir,477.042523109154
AFG,NEPS_AFG,2028,Q1,d1,t5,Imports,500.0
AFG,NEPS_AFG,2028,Q1,d1,t5,Demand,1193.3963807514306
AFG,NEPS_AFG,2028,Q1,d1,t6,Gas,216.3538581422765
AFG,NEPS_AFG,2028,Q1,d1,t6,Reservoir,477.042523109154
AFG,NEPS_AFG,2028,Q1,d1,t6,Imports,500.0
AFG,NEPS_AFG,2028,Q1,d1,t6,Demand,1193.3963807514306
AFG,NEPS_AFG,2028,Q1,d1,t7,Gas,216.3538581422765
AFG,NEPS_AFG,2028,Q1,d1,t7,Reservoir,487.2938281574633
AFG,NEPS_AFG,2028,Q1,d1,t7,PV,13.224026899922446
AFG,NEPS_AFG,2028,Q1,d1,t7,Imports,500.0
AFG,NEPS_AFG,2028,Q1,d1,t7,Demand,1216.8717126996623
AFG,NEPS_AFG,2028,Q1,d1,t8,Reservoir,703.6476862997398
AFG,NEPS_AFG,2028,Q1,d1,t8,PV,13.224026899922446
AFG,NEPS_AFG,2028,Q1,d1,t8,Imports,500.0
AFG,NEPS_AFG,2028,Q1,d1,t8,Demand,1216.8717126996623
AFG,NEPS_AFG,2028,Q1,d1,t9,Gas,216.3538581422765
AFG,NEPS_AFG,2028,Q1,d1,t9,Reservoir,487.2938281574633
AFG,NEPS_AFG,2028,Q1,d1,t9,PV,13.224026899922446
AFG,NEPS_AFG,2028,Q1,d1,t9,Imports,500.0
AFG,NEPS_AFG,2028,Q1,d1,t9,Demand,1216.8717126996623
AFG,NEPS_AFG,2028,Q1,d1,t10,Gas,216.3538581422765
AFG,NEPS_AFG,2028,Q1,d1,t10,Reservoir,487.2938281574633
AFG,NEPS_AFG,2028,Q1,d1,t10,PV,13.224026899922446
