pSettingsHeader,value
CO2backstop,280.0
CostCurtail,1000.0
CostSurplus,1000.0
DR,0.06
EPM_FILL_HYDRO_AVAILABILITY,1.0
EPM_FILL_HYDRO_CAPEX,1.0
EPM_FILL_ROR_FROM_AVAILABILITY,1.0
H2UnservedCost,3000.0
InitialSOCforBattery,0.5
ReserveVoLL,100000.0
SpinReserveVoLL,120.0
VoLL,1500.0
WACC,0.1
fAllowTransferExpansion,1.0
fApplyCountrySpinReserveConstraint,1.0
fApplyPlanningReserveConstraint,1.0
fEnableCapacityExpansion,1.0
fEnableExternalExchange,1.0
fEnableInternalExchange,1.0
fEnableStorage,1.0
fUseSimplifiedDemand,1.0
sMaxCapitalInvestment,200.0
sMaxHourlyExportExternalShare,0.2
sMaxHourlyImportExternalShare,0.1
sRenewableTargetYear,2050.0
sVREForecastErrorPct,0.2
