c,z,attribute,y,uni,value
MEXICO,CEN,Interchange,2023,OCC,0.8126514399828394
MEXICO,CEN,Interchange,2023,ORI,0.8287823492277374
MEXICO,CEN,Interchange,2024,OCC,0.0581671440367998
MEXICO,CEN,Interchange,2024,ORI,0.0529973957106312
MEXICO,CEN,Interchange,2025,OCC,0.0425250331754281
MEXICO,CEN,Interchange,2025,ORI,0.0413552624084627
MEXICO,CEN,Interchange,2026,OCC,0.0674041099336121
MEXICO,CEN,Interchange,2026,ORI,0.0597571993363842
MEXICO,CEN,Interchange,2027,OCC,0.0757394358177713
MEXICO,CEN,Interchange,2027,ORI,0.0655519135631719
MEXICO,CEN,Interchange,2028,OCC,0.0667110272402433
MEXICO,CEN,Interchange,2028,ORI,0.0596136071792188
MEXICO,CEN,Interchange,2029,OCC,0.0857418879591412
MEXICO,CEN,Interchange,2029,ORI,0.065753959064045
MEXICO,CEN,Interchange,2030,OCC,0.1386221965025676
MEXICO,CEN,Interchange,2030,ORI,0.1126164742143819
MEXICO,CEN,Interchange,2040,OCC,0.0147799525260303
MEXICO,CEN,Interchange,2040,ORI,0.0184569952303124
MEXICO,CEN,Interchange,2045,OCC,0.0504912564240131
MEXICO,CEN,Interchange,2045,ORI,0.0571624069054262
MEXICO,CEN,Interchange,2050,OCC,20.518819759470333
MEXICO,CEN,Interchange,2050,ORI,0.0709693617845107
MEXICO,CEN,Interchange,2060,OCC,576.3223844428703
MEXICO,CEN,Interchange,2060,ORI,160.21996909536307
MEXICO,CEN,InterconUtilization,2023,OCC,1.807904756900438e-05
MEXICO,CEN,InterconUtilization,2023,ORI,9.9589323387135e-06
MEXICO,CEN,InterconUtilization,2024,OCC,1.294043808027511e-06
MEXICO,CEN,InterconUtilization,2024,ORI,6.368348439153002e-07
MEXICO,CEN,InterconUtilization,2025,OCC,9.460539412423732e-07
MEXICO,CEN,InterconUtilization,2025,ORI,4.969389859224073e-07
MEXICO,CEN,InterconUtilization,2026,OCC,1.4995384858505978e-06
MEXICO,CEN,InterconUtilization,2026,ORI,7.180629576590273e-07
MEXICO,CEN,InterconUtilization,2027,OCC,1.6849743883158048e-06
MEXICO,CEN,InterconUtilization,2027,ORI,7.876942269066562e-07
MEXICO,CEN,InterconUtilization,2028,OCC,1.4841193988568524e-06
MEXICO,CEN,InterconUtilization,2028,ORI,7.16337485182876e-07
MEXICO,CEN,InterconUtilization,2029,OCC,1.6408839057243485e-06
MEXICO,CEN,InterconUtilization,2029,ORI,7.90122052394647e-07
MEXICO,CEN,InterconUtilization,2030,OCC,2.652879955576942e-06
MEXICO,CEN,InterconUtilization,2030,ORI,1.353238073568972e-06
MEXICO,CEN,InterconUtilization,2040,OCC,2.828510979604791e-07
MEXICO,CEN,InterconUtilization,2040,ORI,1.996340307464977e-07
MEXICO,CEN,InterconUtilization,2045,OCC,9.66275577613327e-07
MEXICO,CEN,InterconUtilization,2045,ORI,6.182784089494182e-07
MEXICO,CEN,InterconUtilization,2050,OCC,0.0003926785702783
MEXICO,CEN,InterconUtilization,2050,ORI,7.676168033603626e-07
MEXICO,CEN,InterconUtilization,2060,OCC,0.0110293600284841
MEXICO,CEN,InterconUtilization,2060,ORI,0.0017329666981732
MEXICO,CEN,NetImport,2023,OCC,-0.0008126514399828
MEXICO,CEN,NetImport,2023,ORI,-0.0008287823492277
MEXICO,CEN,NetImport,2024,OCC,-5.816714403679982e-05
