Geojson,EPM,region,country,division
Angola,Angola,,,
Democratic Republic of the Congo - North,DRC,north,Democratic Republic of the Congo,NSE
Democratic Republic of the Congo - South,DRC_South,south,Democratic Republic of the Congo,NSE
Democratic Republic of the Congo - South,DRC_East,east,Democratic Republic of the Congo,NSE
Burundi,Burundi,,,
Cameroon,Cameroon,,,
Central African Republic,CAR,,,
Chad,Chad,,,
Republic of Congo,Congo,,,
Democratic Republic of the Congo,DRC,,,
Equatorial Guinea,EquatorialGuinea,,,
Gabon,Gabon,,,
Rwanda,Rwanda,,,
