Variable,zone,generator,fuel,year,CCGT2035,CCGT2035_wo_SolarProject-BESSProject,FullSolarCCGT2035,FullSolarCCGT2035_wo_SolarProject-BESSProject,FullSolarHighGas,FullSolarHighGas_wo_SolarProject-BESSProject,Import2030,Import2030_wo_SolarProject-BESSProject,OperationalOptimistic,OperationalOptimistic_wo_SolarProject-BESSProject,OperationalPessimistic,OperationalPessimistic_wo_SolarProject-BESSProject,baseline,baseline_wo_SolarProject-BESSProject
Capacity: MW,Gambia,BESS Project,Battery Storage,2028,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
Capacity: MW,Gambia,BESS Project,Battery Storage,2029,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
Capacity: MW,Gambia,BESS Project,Battery Storage,2030,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
Capacity: MW,Gambia,BESS Project,Battery Storage,2035,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
Capacity: MW,Gambia,BESS Project,Battery Storage,2040,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
Capacity: MW,Gambia,Basse,Oil,2025,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Capacity: MW,Gambia,Basse,Oil,2026,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Capacity: MW,Gambia,Basse,Oil,2027,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Capacity: MW,Gambia,Basse,Oil,2028,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Capacity: MW,Gambia,Basse,Oil,2029,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Capacity: MW,Gambia,Basse,Oil,2030,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Capacity: MW,Gambia,Basse,Oil,2035,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Capacity: MW,Gambia,Brikama G1,Oil,2025,6.4,6.4,,,6.4,6.4,6.4,6.4,6.4,6.4,,,6.4,6.4
Capacity: MW,Gambia,Brikama G1,Oil,2026,6.4,6.4,,,6.4,6.4,6.4,6.4,6.4,6.4,,,6.4,6.4
Capacity: MW,Gambia,Brikama G1,Oil,2027,6.4,6.4,,,6.4,6.4,6.4,6.4,6.4,6.4,,,6.4,6.4
Capacity: MW,Gambia,Brikama G1,Oil,2028,6.4,6.4,,,6.4,6.4,6.4,6.4,6.4,6.4,,,6.4,6.4
Capacity: MW,Gambia,Brikama G1,Oil,2029,6.4,6.4,,,6.4,6.4,6.4,6.4,6.4,6.4,,,6.4,6.4
Capacity: MW,Gambia,Brikama G1,Oil,2030,6.4,6.4,,,6.4,6.4,6.4,6.4,6.4,6.4,,,6.4,6.4
Capacity: MW,Gambia,Brikama II,Oil,2025,8.9,8.9,,,8.9,8.9,8.9,8.9,8.9,8.9,,,8.9,8.9
Capacity: MW,Gambia,Brikama II,Oil,2026,8.9,8.9,,,8.9,8.9,8.9,8.9,8.9,8.9,,,8.9,8.9
Capacity: MW,Gambia,Brikama II,Oil,2027,8.9,8.9,,,8.9,8.9,8.9,8.9,8.9,8.9,,,8.9,8.9
Capacity: MW,Gambia,Brikama II,Oil,2028,8.9,8.9,,,8.9,8.9,8.9,8.9,8.9,8.9,,,8.9,8.9
Capacity: MW,Gambia,Brikama II,Oil,2029,8.9,8.9,,,8.9,8.9,8.9,8.9,8.9,8.9,,,8.9,8.9
