Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Eswatini,Q1,d1,0.41,0.39,0.38,0.38,0.4,0.4,0.44,0.49,0.54,0.55,0.55,0.56,0.55,0.53,0.52,0.5,0.52,0.54,0.58,0.64,0.57,0.5,0.44,0.41
Lesotho,Q1,d1,0.34,0.34,0.34,0.36,0.42,0.46,0.52,0.58,0.63,0.62,0.62,0.6,0.59,0.57,0.55,0.55,0.55,0.57,0.68,0.68,0.61,0.52,0.44,0.4
Malawi,Q1,d1,0.46,0.45,0.44,0.44,0.46,0.51,0.49,0.51,0.57,0.62,0.65,0.69,0.66,0.63,0.61,0.59,0.61,0.64,0.73,0.68,0.62,0.56,0.52,0.47
Namibia,Q1,d1,0.65,0.63,0.62,0.61,0.59,0.61,0.6,0.6,0.62,0.64,0.64,0.64,0.64,0.65,0.66,0.66,0.68,0.7,0.73,0.77,0.8,0.77,0.72,0.68
Zimbabwe,Q1,d1,0.54,0.52,0.52,0.52,0.52,0.54,0.55,0.57,0.59,0.57,0.56,0.55,0.55,0.55,0.55,0.55,0.58,0.57,0.61,0.62,0.6,0.6,0.57,0.56
Zambia,Q1,d1,0.64,0.63,0.62,0.61,0.61,0.62,0.65,0.67,0.71,0.71,0.7,0.71,0.72,0.71,0.7,0.7,0.7,0.72,0.74,0.8,0.78,0.73,0.68,0.65
Tanzania,Q1,d1,0.59,0.55,0.54,0.53,0.52,0.53,0.54,0.55,0.58,0.59,0.6,0.62,0.63,0.65,0.65,0.65,0.65,0.64,0.65,0.71,0.7,0.69,0.67,0.63
South Africa,Q1,d1,0.52,0.52,0.51,0.52,0.53,0.57,0.61,0.63,0.66,0.66,0.67,0.67,0.67,0.66,0.67,0.67,0.66,0.66,0.65,0.68,0.68,0.64,0.59,0.56
Botswana,Q1,d1,0.52,0.51,0.5,0.49,0.49,0.49,0.51,0.53,0.57,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.6,0.62,0.68,0.71,0.68,0.63,0.58
Mozambique_South,Q1,d1,0.59,0.55,0.52,0.5,0.49,0.47,0.57,0.62,0.69,0.74,0.74,0.73,0.71,0.72,0.72,0.72,0.73,0.72,0.75,0.83,0.81,0.74,0.66,0.56
