Geojson,EPM,region,country,division
Angola - North,Angola_North,north,Angola,NCS
Angola - Center,Angola_Center,center,Angola,NCS
Angola - South,Angola_South,south,Angola,NCS
Democratic Republic of the Congo - North,DRC_North,north,Democratic Republic of the Congo,NSE
Democratic Republic of the Congo - South,DRC_South,south,Democratic Republic of the Congo,NSE
Democratic Republic of the Congo - East,DRC_East,east,Democratic Republic of the Congo,NSE
Namibia - North,Namibia_North,north,Namibia,NCS
Namibia - Center,Namibia_Center,center,Namibia,NCS
Namibia - South,Namibia_South,south,Namibia,NCS
Mozambique - Center,Mozambique_Central,center,Mozambique,NCS
Mozambique - South,Mozambique_South,south,Mozambique,NCS
Mozambique - North,Mozambique_North,north,Mozambique,NCS
South Africa - West,South_Africa_West,west,South Africa,EW
South Africa - East,South_Africa_East,east,South Africa,EW
Malawi,Malawi,,,
Zambia,Zambia,,,
Zimbabwe,Zimbabwe,,,
Botswana,Botswana,,,
Swaziland,Eswatini,,,
Lesotho,Lesotho,,,
United Republic of Tanzania,Tanzania,,,
