epm_zone,source_name,subregion,split
Angola,Angola,,
DRC,Democratic Republic of the Congo,north,NSE
DRC_South,Democratic Republic of the Congo,south,NSE
DRC_East,Democratic Republic of the Congo,east,NSE
Burundi,Burundi,,
Cameroon,Cameroon,,
CAR,Central African Republic,,
Chad,Chad,,
Congo,Republic of Congo,,
EquatorialGuinea,Equatorial Guinea,,
Gabon,Gabon,,
Rwanda,Rwanda,,
Trakia,Trakia,,
WestAna,WestAna,,
NorthWest,NorthWest,,
WestMed,WestMed,,
CenterBlack,CenterBlack,,
CenterAna,CenterAna,,
EastMed,EastMed,,
SouthEast,SouthEast,,
EastAna,EastAna,,
KAZ_N,KAZ_N,,
KAZ_S,KAZ_S,,
KGZ_N,KGZ_N,,
KGZ_S,KGZ_S,,
TAJ_N,TAJ_N,,
TAJ_S,TAJ_S,,
UZB,UZB,,
TUR,TUR,,
NEPS_AFG,NEPS_AFG,,
NEPS_TAJ,NEPS_TAJ,,
NEPS_UZB,NEPS_UZB,,
NEPS_TKM,NEPS_TKM,,
NEPS_HERAT,NEPS_HERAT,,
PAK_N,PAK_N,,
PAK_S,PAK_S,,
PAK_KAR,PAK_KAR,,
