tech,fuel,Processing,Color
Nuclear,Uranium,Nuclear,darkgreen
Coal_Ex,Coal,Coal-Ex,dimgray
Coal_CCS,CoalCCS,Coal_CCS,grey
HydroDam,Hydro,Hydro-Dam,midnightBlue
RoR,Hydro,Hydro-RoR,navy
ST_Gas_LNG_Ex,Gas,ST-Ex--Gas/LNG,yellow
ST_Gas_LNG_Ex,LNG,ST-Ex-Gas/LNG,darkkhaki
CCGT_Gas_LNG_Ex,Gas,CCGT-Ex-Gas/LNG,yellow
CCGT_Gas_LNG_Ex,LNG,CCGT-Ex-Gas/LNG,darkkhaki
CCGT_Gas_HSD_Ex,Gas,CCGT-Ex-Gas/HSD,yellow
CCGT_Gas_HSD_Ex,HSD,CCGT-Ex-Gas/HSD,darkred
CCGT_Gas_LNG,Gas,CCGT-Gas/LNG,yellow
CCGT_Gas_LNG,LNG,CCGT-Gas/LNG,darkkhaki
CCGT_H2,Hydrogen,CCGT-H2,Lime
OCGT_Gas_LNG_Ex,Gas,OCGT-Ex-Gas/LNG,yellow
OCGT_Gas_LNG_Ex,LNG,OCGT-Ex-Gas/LNG,darkkhaki
OCGT_Gas_HSD_Ex,Gas,OCGT-Ex-Gas/HSD,yellow
OCGT_Gas_HSD_Ex,HSD,OCGT-Ex-Gas/HSD,darkred
OCGT_Gas_LNG,Gas,OCGT-Gas/LNG,yellow
OCGT_Gas_LNG,LNG,OCGT-Gas/LNG,darkkhaki
OCGT_H2,Hydrogen,OCGT-H2,Lime
OCGT_HSD_Ex,HSD,OCGT-Ex-HSD,darkred
OCGT_HSD,HSD,OCGT-HSD,darkred
Reciprocating_Gas_LNG_Ex,Gas,ICE-Ex-Gas/LNG,yellow
Reciprocating_Gas_LNG_Ex,LNG,ICE-Ex-Gas/LNG,darkkhaki
Reciprocating_HFO_Gas_Ex,HFO,ICE-Ex-HFO/Gas,firebrick
Reciprocating_HFO_Gas_Ex,Gas,ICE-Ex-HFO/Gas,yellow
Reciprocating_HFO_Ex,HFO,ICE-Ex-HFO,firebrick
Reciprocating_HFO,HFO,ICE-HFO,firebrick
Wind_Ex,Wind,Wind-Ex,lightskyblue
Wind,Wind,Wind,lightskyblue
PV_Ex,Solar,PV-Ex,orange
PV,Solar,PV,orange
Storage1H,BESS,BESS-1H,red
Storage2H,BESS,BESS-2H,red
Storage3H,BESS,BESS-3H,red
Storage4H,BESS,BESS-4H,red
Storage5H,BESS,BESS-5H,red
Storage6H,BESS,BESS-6H,red
CSPPlant,Solar,CSP,Darkorange
PVwSTO,Solar,PVwStorage,Darkorange
STOPV,Solar,STOPV,Darkorange
Storage,BESS,BESS,red
EnergyBalance,Imports,Imports,Blue
EnergyBalance,Exports,Exports,Blue
