month,day,hour,zone,value
1,1,0,ZONE1,0.7710717043733684
1,1,1,ZONE1,0.5137069721739789
1,1,2,ZONE1,0.38780205288775627
1,1,3,ZONE1,0.6438918869470674
1,1,4,ZONE1,0.06436432404810022
1,1,5,ZONE1,0.3592680260373403
1,1,6,ZONE1,0.4507334889212471
1,1,7,ZONE1,0.33072257642332115
1,1,8,ZONE1,0.3710493165096552
1,1,9,ZONE1,0.11995476178783371
1,1,10,ZONE1,0.23414474949566066
1,1,11,ZONE1,0.17514782058951373
1,1,12,ZONE1,0.580586278050088
1,1,13,ZONE1,0.1876646657822887
1,1,14,ZONE1,0.3067514477088271
1,1,15,ZONE1,0.598464797401474
1,1,16,ZONE1,0.7638138787944126
1,1,17,ZONE1,0.48563535835387095
1,1,18,ZONE1,0.7759191140362595
1,1,19,ZONE1,0.11422532569557353
1,1,20,ZONE1,0.44158429063173554
1,1,21,ZONE1,0.5629028439858635
1,1,22,ZONE1,0.3379737311398968
1,1,23,ZONE1,0.18337258825417346
1,2,0,ZONE1,0.04303953150338202
1,2,1,ZONE1,0.4676312665602801
1,2,2,ZONE1,0.11894101055244777
1,2,3,ZONE1,0.8740183432485659
1,2,4,ZONE1,0.9559632270516477
1,2,5,ZONE1,0.9882747004557214
1,2,6,ZONE1,0.424495921735749
1,2,7,ZONE1,0.2826037394544396
1,2,8,ZONE1,0.47857361786070407
1,2,9,ZONE1,0.29631026702307994
1,2,10,ZONE1,0.8686101204327698
1,2,11,ZONE1,0.8504568069856075
1,2,12,ZONE1,0.1711374683729775
1,2,13,ZONE1,0.6222405831136404
1,2,14,ZONE1,0.04558068192464293
1,2,15,ZONE1,0.7388789937522148
1,2,16,ZONE1,0.09336506619311424
1,2,17,ZONE1,0.03696737192376143
1,2,18,ZONE1,0.5634494590649723
1,2,19,ZONE1,0.3109829501463104
1,2,20,ZONE1,0.5480336849515797
1,2,21,ZONE1,0.4413646252011345
1,2,22,ZONE1,0.28121835859057986
1,2,23,ZONE1,0.1195596988959361
1,3,0,ZONE1,0.9432976006923921
1,3,1,ZONE1,0.49142613929583423
1,3,2,ZONE1,0.009066341158855962
1,3,3,ZONE1,0.5237855878857688
1,3,4,ZONE1,0.7775643111070114
