zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d1,2024,54.976,84.980,63.765,129.198,139.234,157.638,181.007,176.163,149.232,141.567,145.128,144.978,143.657,150.123,158.884,175.854,206.101,227.972,212.417,182.244,174.167,141.567,141.567,141.155
Bulgaria,Q1,d1,2025,53.883,83.313,62.504,126.686,136.529,154.581,177.504,172.752,146.336,138.818,142.311,142.164,140.868,147.210,155.803,172.448,202.118,223.570,208.312,178.717,170.794,138.818,138.818,138.414
Bulgaria,Q1,d1,2026,52.790,81.646,61.243,124.173,133.825,151.524,174.000,169.340,143.440,136.069,139.493,139.349,138.078,144.297,152.723,169.043,198.134,219.167,204.208,175.189,167.421,136.069,136.069,135.672
Bulgaria,Q1,d1,2027,51.697,79.979,59.982,121.660,131.120,148.467,170.496,165.929,140.544,133.319,136.676,136.534,135.289,141.383,149.642,165.638,194.150,214.765,200.103,171.662,164.048,133.319,133.319,132.931
Bulgaria,Q1,d1,2028,50.604,78.312,58.721,119.147,128.415,145.410,166.992,162.518,137.648,130.570,133.858,133.720,132.500,138.470,146.561,162.233,190.166,210.363,195.998,168.134,160.675,130.570,130.570,130.189
Bulgaria,Q1,d1,2029,49.511,76.645,57.459,116.635,125.710,142.354,163.488,159.107,134.752,127.820,131.041,130.905,129.710,135.557,143.481,158.827,186.182,205.961,191.894,164.607,157.302,127.820,127.820,127.448
Bulgaria,Q1,d1,2030,48.418,74.978,56.198,114.122,123.006,139.297,159.984,155.696,131.856,125.071,128.223,128.090,126.921,132.644,140.400,155.422,182.198,201.559,187.789,161.079,153.929,125.071,125.071,124.706
Bulgaria,Q1,d1,2031,48.492,75.091,56.284,114.292,123.189,139.504,160.222,155.927,132.053,125.257,128.414,128.281,127.110,132.842,140.609,155.653,182.468,201.857,188.067,161.318,154.158,125.257,125.257,124.892
Bulgaria,Q1,d1,2032,48.565,75.203,56.368,114.461,123.371,139.710,160.458,156.156,132.247,125.442,128.604,128.470,127.297,133.038,140.816,155.882,182.736,202.153,188.343,161.556,154.385,125.442,125.442,125.076
Bulgaria,Q1,d1,2033,48.639,75.316,56.454,114.631,123.554,139.917,160.695,156.388,132.444,125.629,128.794,128.661,127.486,133.235,141.025,156.113,183.006,202.451,188.621,161.795,154.613,125.629,125.629,125.262
Bulgaria,Q1,d1,2034,48.713,75.429,56.539,114.802,123.737,140.124,160.932,156.619,132.640,125.815,128.985,128.852,127.675,133.433,141.233,156.343,183.276,202.750,188.899,162.034,154.842,125.815,125.815,125.448
Bulgaria,Q1,d1,2035,48.787,75.542,56.625,114.972,123.921,140.331,161.170,156.850,132.836,126.001,129.176,129.043,127.864,133.630,141.442,156.574,183.546,203.048,189.178,162.273,155.070,126.001,126.001,125.633
Bulgaria,Q1,d1,2036,48.861,75.655,56.710,115.142,124.104,140.538,161.407,157.081,133.032,126.188,129.367,129.233,128.053,133.827,141.651,156.805,183.816,203.346,189.456,162.512,155.299,126.188,126.188,125.819
