zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d1,2024,61.073,92.005,70.134,137.591,147.937,166.910,191.002,186.008,158.244,150.342,154.013,153.859,152.497,159.162,168.194,185.689,216.872,239.419,223.383,192.277,183.950,150.342,150.342,149.917
Bulgaria,Q1,d1,2025,67.525,101.844,77.578,152.424,163.903,184.954,211.685,206.144,175.339,166.572,170.645,170.473,168.962,176.358,186.379,205.790,240.389,265.405,247.613,213.100,203.861,166.572,166.572,166.100
Bulgaria,Q1,d1,2026,73.977,111.684,85.023,167.257,179.869,202.998,232.368,226.280,192.435,182.802,187.277,187.088,185.428,193.553,204.564,225.891,263.905,291.391,271.842,233.923,223.771,182.802,182.802,182.283
Bulgaria,Q1,d1,2027,80.429,121.525,92.467,182.090,195.835,221.042,253.051,246.416,209.530,199.031,203.908,203.703,201.893,210.749,222.749,245.992,287.421,317.377,296.072,254.745,243.682,199.031,199.031,198.466
Bulgaria,Q1,d1,2028,86.881,131.365,99.912,196.924,211.803,239.088,273.736,266.553,226.626,215.262,220.541,220.319,218.360,227.946,240.936,266.095,310.940,343.365,320.303,275.570,263.594,215.262,215.262,214.651
Bulgaria,Q1,d1,2029,93.333,141.205,107.357,211.757,227.769,257.132,294.419,286.689,243.721,231.492,237.173,236.934,234.826,245.142,259.120,286.196,334.457,369.351,344.533,296.392,283.505,231.492,231.492,230.834
Bulgaria,Q1,d1,2030,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
Bulgaria,Q1,d1,2031,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
Bulgaria,Q1,d1,2032,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
Bulgaria,Q1,d1,2033,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
Bulgaria,Q1,d1,2034,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
Bulgaria,Q1,d1,2035,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
Bulgaria,Q1,d1,2036,99.785,151.045,114.802,226.590,243.735,275.176,315.102,306.825,260.817,247.721,253.805,253.548,251.291,262.337,277.305,306.297,357.973,395.337,368.763,317.215,303.415,247.721,247.721,247.017
