zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d1,2024,55.270,85.429,64.105,129.876,139.963,158.461,181.952,177.082,150.013,142.308,145.887,145.737,144.409,150.908,159.714,176.771,207.175,229.158,213.523,183.195,175.076,142.308,142.308,141.894
Bulgaria,Q1,d1,2025,61.561,95.023,71.363,144.338,155.530,176.054,202.117,196.715,166.680,158.132,162.103,161.936,160.463,167.673,177.444,196.370,230.103,254.494,237.147,203.497,194.489,158.132,158.132,157.672
Bulgaria,Q1,d1,2026,67.852,104.617,78.622,158.800,171.097,193.648,222.283,216.347,183.348,173.956,178.319,178.135,176.517,184.439,195.175,215.968,253.032,279.831,260.771,223.799,213.901,173.956,173.956,173.451
Bulgaria,Q1,d1,2027,74.143,114.211,85.880,173.262,186.664,211.240,242.449,235.980,200.016,189.780,194.535,194.335,192.570,201.205,212.905,235.567,275.961,305.167,284.394,244.101,233.314,189.780,189.780,189.229
Bulgaria,Q1,d1,2028,80.434,123.806,93.139,187.726,202.232,228.835,262.617,255.614,216.685,205.605,210.752,210.536,208.626,217.972,230.637,255.167,298.891,330.505,308.020,264.405,252.729,205.605,205.605,205.009
Bulgaria,Q1,d1,2029,86.725,133.400,100.398,202.188,217.799,246.428,282.783,275.247,233.353,221.429,226.968,226.735,224.680,234.738,248.367,274.765,321.820,355.842,331.644,284.707,272.142,221.429,221.429,220.788
Bulgaria,Q1,d1,2030,93.015,142.994,107.656,216.650,233.366,264.021,302.949,294.879,250.021,237.253,243.184,242.934,240.733,251.503,266.097,294.364,344.748,381.178,355.268,305.009,291.555,237.253,237.253,236.566
Bulgaria,Q1,d1,2031,93.015,142.994,107.656,216.650,233.366,264.021,302.949,294.879,250.021,237.253,243.184,242.934,240.733,251.503,266.097,294.364,344.748,381.178,355.268,305.009,291.555,237.253,237.253,236.566
Bulgaria,Q1,d1,2032,93.015,142.994,107.656,216.650,233.366,264.021,302.949,294.879,250.021,237.253,243.184,242.934,240.733,251.503,266.097,294.364,344.748,381.178,355.268,305.009,291.555,237.253,237.253,236.566
Bulgaria,Q1,d1,2033,93.015,142.994,107.656,216.650,233.366,264.021,302.949,294.879,250.021,237.253,243.184,242.934,240.733,251.503,266.097,294.364,344.748,381.178,355.268,305.009,291.555,237.253,237.253,236.566
